IMAGE_Num,Scramble,time,width,height,fix_time,Path,,,Shanaa,Raphael,Charlene,Holly,Alfred,Maria,Samantha,Katie,Mike,Marco,Tasfia,Emily
70,1,0.65,700,700,10,stim/1_stim_obj70.tif,,,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock,clock
26,256,0.65,700,700,10,stim/256_stim_obj26.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,clock,no idea
63,16,0.65,700,700,10,stim/16_stim_obj63.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,shoe,shoe,shoe,no idea,no idea,shoe
64,256,0.65,700,700,10,stim/256_stim_obj64.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
74,16,0.65,700,700,10,stim/16_stim_obj74.tif,,,no idea,no idea,bottle,no idea,no idea,no idea,no idea,no idea,no idea,no idea,bottle,bottle
32,64,0.65,700,700,10,stim/64_stim_obj32.tif,,,no idea,no idea,no idea,no idea,no idea,box,no idea,no idea,clock,no idea,box,no idea
16,64,0.65,700,700,10,stim/64_stim_obj16.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,kids toy,kids toy,kids toy,kids toy,no idea
78,64,0.65,700,700,10,stim/64_stim_obj78.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,drawer,no idea
55,16,0.65,700,700,10,stim/16_stim_obj55.tif,,,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather
26,4,0.65,700,700,10,stim/4_stim_obj26.tif,,,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie
2,16,0.65,700,700,10,stim/16_stim_obj2.tif,,,flower,flower,flower,no idea,flower,flower,flower,flower,flower,flower,flower,flower
41,1,0.65,700,700,10,stim/1_stim_obj41.tif,,,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle,candle
15,1,0.65,700,700,10,stim/1_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker
72,1,0.65,700,700,10,stim/1_stim_obj72.tif,,,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother,soother
13,4,0.65,700,700,10,stim/4_stim_obj13.tif,,,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench,bench
11,1,0.65,700,700,10,stim/1_stim_obj11.tif,,,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles,googles
35,1,0.65,700,700,10,stim/1_stim_obj35.tif,,,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch,watch
41,64,0.65,700,700,10,stim/64_stim_obj41.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,soother,no idea,no idea,no idea,change,no idea
13,64,0.65,700,700,10,stim/64_stim_obj13.tif,,,bench,no idea,bench,no idea,no idea,no idea,bench,bench,bench,bench,bench,bench
30,1,0.65,700,700,10,stim/1_stim_obj30.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs
79,1,0.65,700,700,10,stim/1_stim_obj79.tif,,,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone,cone
15,4,0.65,700,700,10,stim/4_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker
49,16,0.65,700,700,10,stim/16_stim_obj49.tif,,,no idea,no idea,no idea,no idea,cooler,no idea,googles,no idea,leather desk chair,cooler,stool ,no idea
5,256,0.65,700,700,10,stim/256_stim_obj5.tif,,,no idea,floppy disk ,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
57,64,0.65,700,700,10,stim/64_stim_obj57.tif,,,no idea,no idea,vhs,no idea,no idea,no idea,floppy disk,no idea,floppy disk,vhs,no idea,floppy disk
9,16,0.65,700,700,10,stim/16_stim_obj9.tif,,,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale,scale
43,256,0.65,700,700,10,stim/256_stim_obj43.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
20,256,0.65,700,700,10,stim/256_stim_obj20.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,soother,no idea,no idea
57,4,0.65,700,700,10,stim/4_stim_obj57.tif,,,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk ,floppy disk,floppy disk,no idea,floppy disk,floppy disk,floppy disk ,floppy disk
59,1,0.65,700,700,10,stim/1_stim_obj59.tif,,,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents,presents
68,256,0.65,700,700,10,stim/256_stim_obj68.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
6,16,0.65,700,700,10,stim/16_stim_obj6.tif,,,battery,no idea,no idea,no idea,no idea,no idea,battery,no idea,no idea,no idea,no idea,no idea
61,16,0.65,700,700,10,stim/16_stim_obj61.tif,,,hat,no idea,hat,hat,hat,hat,hat,hat,hat,hat,hat,hat
43,1,0.65,700,700,10,stim/1_stim_obj43.tif,,,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror
62,16,0.65,700,700,10,stim/16_stim_obj62.tif,,,shoe,no idea,no idea,shoe,no idea,shoe,shoe,shoe,shoe,no idea,shoe,no idea
49,256,0.65,700,700,10,stim/256_stim_obj49.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,floppy disk,no idea,no idea,no idea,no idea,no idea
25,256,0.65,700,700,10,stim/256_stim_obj25.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
36,256,0.65,700,700,10,stim/256_stim_obj36.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
55,64,0.65,700,700,10,stim/64_stim_obj55.tif,,,feather,no idea,feather,no idea,feather,feather,feather,feather,feather,feather,feather,feather
63,256,0.65,700,700,10,stim/256_stim_obj63.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,shoe,shoe,no idea,no idea
14,64,0.65,700,700,10,stim/64_stim_obj14.tif,,,no idea,no idea,no idea,no idea,floppy disk ,no idea,no idea,no idea,floppy disk,no idea,no idea,no idea
30,256,0.65,700,700,10,stim/256_stim_obj30.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,vhs,no idea,no idea,no idea,no idea,no idea
12,1,0.65,700,700,10,stim/1_stim_obj12.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe ,shoe,shoe,shoe
44,64,0.65,700,700,10,stim/64_stim_obj44.tif,,,no idea,no idea,no idea,no idea,vhs,no idea,no idea,no idea,no idea,soother,no idea,no idea
38,4,0.65,700,700,10,stim/4_stim_obj38.tif,,,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket
63,4,0.65,700,700,10,stim/4_stim_obj63.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe
1,4,0.65,700,700,10,stim/4_stim_obj1.tif,,,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit
27,4,0.65,700,700,10,stim/4_stim_obj27.tif,,,train,train,train,train,train,train,train,train,train,train,train,train
23,16,0.65,700,700,10,stim/16_stim_obj23.tif,,,no idea,no idea,tent,tent,no idea,tent,tent,tent,tent,no idea,train,no idea
18,256,0.65,700,700,10,stim/256_stim_obj18.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
43,4,0.65,700,700,10,stim/4_stim_obj43.tif,,,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror,mirror
37,4,0.65,700,700,10,stim/4_stim_obj37.tif,,,box,no idea,box,no idea,box,box,box,box,box,box,box,box
62,4,0.65,700,700,10,stim/4_stim_obj62.tif,,,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe,shoe
45,4,0.65,700,700,10,stim/4_stim_obj45.tif,,,box,no idea,no idea,no idea,box,box,clock,no idea,box,table ,box,box
9,256,0.65,700,700,10,stim/256_stim_obj9.tif,,,no idea,no idea,no idea,no idea,scale,no idea,scale,no idea,no idea,no idea,no idea,no idea
70,256,0.65,700,700,10,stim/256_stim_obj70.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,clock,no idea,no idea,no idea,no idea,no idea
2,256,0.65,700,700,10,stim/256_stim_obj2.tif,,,no idea,no idea,flower,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
52,256,0.65,700,700,10,stim/256_stim_obj52.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,soother,no idea,no idea
26,1,0.65,700,700,10,stim/1_stim_obj26.tif,,,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie
68,16,0.65,700,700,10,stim/16_stim_obj68.tif,,,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net,basketball net
31,16,0.65,700,700,10,stim/16_stim_obj31.tif,,,presents,no idea,no idea,presents,flower,no idea,no idea,no idea,presents,shoe,no idea,no idea
54,4,0.65,700,700,10,stim/4_stim_obj54.tif,,,faucet,no idea,faucet,faucet,faucet,faucet,faucet,faucet,faucet,faucet,faucet,faucet
13,16,0.65,700,700,10,stim/16_stim_obj13.tif,,,bench,bench ,bench,bench,bench,bench,bench,bench,bench,bench,bench ,bench
44,1,0.65,700,700,10,stim/1_stim_obj44.tif,,,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne,champagne
63,64,0.65,700,700,10,stim/64_stim_obj63.tif,,,no idea,no idea,no idea,no idea,shoe,shoe,shoe,shoe,shoe,shoe,no idea,shoe
73,16,0.65,700,700,10,stim/16_stim_obj73.tif,,,peanuts,no idea,no idea,peanuts,peanuts,no idea,peanuts,peanuts,peanuts,no idea,peanuts,no idea
42,16,0.65,700,700,10,stim/16_stim_obj42.tif,,,car,car,car,car,car,car,car,car,car,car,car,car
70,64,0.65,700,700,10,stim/64_stim_obj70.tif,,,clock,no idea,no idea,no idea,no idea,no idea,clock,no idea,shoe,no idea,clock,no idea
9,64,0.65,700,700,10,stim/64_stim_obj9.tif,,,scale,scale,scale,scale,scale,no idea,scale,scale,scale,scale,scale,scale
76,64,0.65,700,700,10,stim/64_stim_obj76.tif,,,no idea,no idea,no idea,no idea,shoe,no idea,no idea,basketball net,no idea,no idea,shoe,no idea
79,256,0.65,700,700,10,stim/256_stim_obj79.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
26,16,0.65,700,700,10,stim/16_stim_obj26.tif,,,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie,bow tie
17,1,0.65,700,700,10,stim/1_stim_obj17.tif,,,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket
15,16,0.65,700,700,10,stim/16_stim_obj15.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker
24,16,0.65,700,700,10,stim/16_stim_obj24.tif,,,twine,no idea,no idea,no idea,twine,twine,twine,candle,no idea,no idea,no idea,twine
74,4,0.65,700,700,10,stim/4_stim_obj74.tif,,,bottle,no idea,no idea,no idea,bottle,bottle,bottle,no idea,bottle,bottle,cone,bottle
40,4,0.65,700,700,10,stim/4_stim_obj40.tif,,,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra
1,64,0.65,700,700,10,stim/64_stim_obj1.tif,,,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit
19,1,0.65,700,700,10,stim/1_stim_obj19.tif,,,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag,bag
61,64,0.65,700,700,10,stim/64_stim_obj61.tif,,,hat,no idea,hat,hat,hat,hat,hat,hat,hat,hat,hat,hat
66,64,0.65,700,700,10,stim/64_stim_obj66.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,shoe,no idea,no idea,no idea,no idea,no idea
1,16,0.65,700,700,10,stim/16_stim_obj1.tif,,,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit,ac unit
37,16,0.65,700,700,10,stim/16_stim_obj37.tif,,,box,no idea,box,no idea,box,box,box,box,box,box,ac unit,box
79,64,0.65,700,700,10,stim/64_stim_obj79.tif,,,cone,no idea,no idea,no idea,bucket,no idea,no idea,no idea,no idea,no idea,cone ,no idea
31,1,0.65,700,700,10,stim/1_stim_obj31.tif,,,gift box,gift box,gift box,gift box,gift box,gift box,gift box,gift box,gift box,gift box,gift box,gift box
29,16,0.65,700,700,10,stim/16_stim_obj29.tif,,,toque,no idea,no idea,toque,toque,toque,toque,toque,toque,no idea,toque,no idea
8,16,0.65,700,700,10,stim/16_stim_obj8.tif,,,belt,no idea,belt,no idea,no idea,belt,belt,belt,belt,no idea,belt ,belt
28,16,0.65,700,700,10,stim/16_stim_obj28.tif,,,tupperwear,no idea,tupperwear,tupperwear,no idea,tupperwear,tupperwear,no idea,tupperwear,tupperwear,tupperwear,tupperwear
49,1,0.65,700,700,10,stim/1_stim_obj49.tif,,,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler,cooler
28,1,0.65,700,700,10,stim/1_stim_obj28.tif,,,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear,tupperwear
56,256,0.65,700,700,10,stim/256_stim_obj56.tif,,,no idea,no idea,no idea,vhs,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
36,4,0.65,700,700,10,stim/4_stim_obj36.tif,,,watermelon,no idea,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon,watermelon
10,4,0.65,700,700,10,stim/4_stim_obj10.tif,,,shell,no idea,shell,no idea,shell,shell,shell,shell,shell,shell,shell,shell
24,4,0.65,700,700,10,stim/4_stim_obj24.tif,,,twine,no idea,no idea,no idea,twine,twine,twine,twine,no idea,twine,no idea,twine
75,64,0.65,700,700,10,stim/64_stim_obj75.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
80,4,0.65,700,700,10,stim/4_stim_obj80.tif,,,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox,boombox
14,1,0.65,700,700,10,stim/1_stim_obj14.tif,,,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker,speaker
58,16,0.65,700,700,10,stim/16_stim_obj58.tif,,,stool,no idea,stool,stool,no idea,stool,stool,stool,stool,stool,stool ,stool 
42,4,0.65,700,700,10,stim/4_stim_obj42.tif,,,car,car,car,car,car,car,car,car,car,car,car,car
51,1,0.65,700,700,10,stim/1_stim_obj51.tif,,,desk,desk ,desk,desk,desk,desk,desk,desk,desk,desk,desk,desk
57,1,0.65,700,700,10,stim/1_stim_obj57.tif,,,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk ,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk,floppy disk ,floppy disk
17,16,0.65,700,700,10,stim/16_stim_obj17.tif,,,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket
18,64,0.65,700,700,10,stim/64_stim_obj18.tif,,,no idea,no idea,flower,no idea,no idea,no idea,peanuts,peanuts,shell,no idea,no idea,no idea
40,1,0.65,700,700,10,stim/1_stim_obj40.tif,,,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra,candelabra
16,16,0.65,700,700,10,stim/16_stim_obj16.tif,,,kids toy,no idea,kids toy,no idea,no idea,kids toy,no idea,kids toy,kids toy,kids toy,kids toy,kids toy
29,64,0.65,700,700,10,stim/64_stim_obj29.tif,,,toque,no idea,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque
27,256,0.65,700,700,10,stim/256_stim_obj27.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,shoe,no idea,shoe,no idea,no idea,no idea
29,1,0.65,700,700,10,stim/1_stim_obj29.tif,,,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque,toque
25,1,0.65,700,700,10,stim/1_stim_obj25.tif,,,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex,kleenex
59,256,0.65,700,700,10,stim/256_stim_obj59.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
39,256,0.65,700,700,10,stim/256_stim_obj39.tif,,,no idea,no idea,flower,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
38,1,0.65,700,700,10,stim/1_stim_obj38.tif,,,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket,bucket, bucket,bucket
41,16,0.65,700,700,10,stim/16_stim_obj41.tif,,,shell,no idea,candle,no idea,no idea,no idea,no idea,candle,no idea,no idea,no idea,no idea
51,64,0.65,700,700,10,stim/64_stim_obj51.tif,,,desk,no idea,desk,no idea,desk,no idea,desk,no idea,desk,desk,floppy disk ,desk
17,64,0.65,700,700,10,stim/64_stim_obj17.tif,,,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket,basket
53,1,0.65,700,700,10,stim/1_stim_obj53.tif,,,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables,cables
32,16,0.65,700,700,10,stim/16_stim_obj32.tif,,,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs,vhs
62,64,0.65,700,700,10,stim/64_stim_obj62.tif,,,no idea,no idea,no idea,no idea,no idea,shoe,no idea,shoe,shoe,no idea,shoe,no idea
61,1,0.65,700,700,10,stim/1_stim_obj61.tif,,,hat,hat,hat,hat,hat,hat,hat,hat,hat,hat,hat,hat
47,64,0.65,700,700,10,stim/64_stim_obj47.tif,,,coffee beans,no idea,flower,coffee beans,coffee beans,no idea,coffee beans,no idea,no idea,no idea,coffee beans,coffee beans
76,256,0.65,700,700,10,stim/256_stim_obj76.tif,,,no idea,no idea,flower,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
58,64,0.65,700,700,10,stim/64_stim_obj58.tif,,,desk ,no idea,cables,no idea,no idea,stool ,bench,desk,stool ,no idea,bucket,no idea
16,4,0.65,700,700,10,stim/4_stim_obj16.tif,,,kids toy,no idea,kids toy,no idea,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy,kids toy
67,64,0.65,700,700,10,stim/64_stim_obj67.tif,,,lemon,no idea,no idea,no idea,no idea,no idea,lemon,no idea,lemon,no idea,no idea,lemon
55,256,0.65,700,700,10,stim/256_stim_obj55.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea
73,4,0.65,700,700,10,stim/4_stim_obj73.tif,,,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts,peanuts
78,4,0.65,700,700,10,stim/4_stim_obj78.tif,,,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer,printer
55,1,0.65,700,700,10,stim/1_stim_obj55.tif,,,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather
49,64,0.65,700,700,10,stim/64_stim_obj49.tif,,,no idea,no idea,no idea,no idea,cooler,no idea,cooler,cooler,cooler,no idea,no idea,no idea
20,1,0.65,700,700,10,stim/1_stim_obj20.tif,,,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses,sunglasses
45,1,0.65,700,700,10,stim/1_stim_obj45.tif,,,box,box,box,no idea,box,box,box,box,box,box,box,box
76,4,0.65,700,700,10,stim/4_stim_obj76.tif,,,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot,flower pot
22,256,0.65,700,700,10,stim/256_stim_obj22.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,cooler,no idea,no idea,no idea
2,4,0.65,700,700,10,stim/4_stim_obj2.tif,,,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower,flower
21,4,0.65,700,700,10,stim/4_stim_obj21.tif,,,table,table ,table,table,table,table,table,table,table,table ,table,table
11,256,0.65,700,700,10,stim/256_stim_obj11.tif,,,no idea,no idea,no idea,no idea,no idea,no idea,no idea,no idea,kids toy,no idea,no idea,no idea
